tmdbId,person_id,name,character,order
862,31,Tom Hanks,Woody (voice),0
862,12898,Tim Allen,Buzz Lightyear (voice),1
862,7167,Don Rickles,Mr. Potato Head (voice),2
862,12899,Jim Varney,Slinky Dog (voice),3
862,12900,Wallace Shawn,Rex (voice),4
862,7907,John Ratzenberger,Hamm (voice),5
862,8873,Annie Potts,Bo Peep (voice),6
862,1116442,John Morris,Andy (voice),7
862,12901,Erik von Detten,Sid (voice),8
862,12133,Laurie Metcalf,Mrs. Davis (voice),9
280,1100,Arnold Schwarzenegger,The Terminator,0
280,2713,Linda Hamilton,Sarah Connor,1
280,820,Edward Furlong,John Connor,2
280,418,Robert Patrick,T-1000,3
280,2716,Earl Boen,Dr. Silberman,4
280,3977,Joe Morton,Miles Dyson,5
280,3978,S. Epatha Merkerson,Tarissa Dyson,6
280,3979,Castulo Guerra,Enrique Salceda,7
280,3980,Danny Cooksey,Tim,8
280,3981,Jenette Goldstein,Janelle Voight,9
629,9045,Stephen Baldwin,McManus,0
629,5168,Gabriel Byrne,Keaton,1
629,1121,Benicio del Toro,Fenster,2
629,7166,Kevin Pollak,Hockney,3
629,1979,Kevin Spacey,Verbal,4
629,9046,Chazz Palminteri,Dave Kujan,5
629,4935,Pete Postlethwaite,Kobayashi,6
629,2179,Suzy Amis,Edie Finneran,7
629,4808,Giancarlo Esposito,Jack Baer,8
629,6486,Dan Hedaya,Jeff Rabin,9
1892,2,Mark Hamill,Luke Skywalker,0
1892,3,Harrison Ford,Han Solo,1
1892,4,Carrie Fisher,Princess Leia,2
1892,3799,Billy Dee Williams,Lando Calrissian,3
1892,6,Anthony Daniels,C-3PO,4
1892,24343,Peter Mayhew,Chewbacca,5
1892,28235,Sebastian Shaw,Anakin Skywalker,6
1892,27762,Ian McDiarmid,The Emperor,7
1892,7908,Frank Oz,Yoda (voice),8
1892,15152,James Earl Jones,Darth Vader (voice),9
121,109,Elijah Wood,Frodo,0
121,1327,Ian McKellen,Gandalf,1
121,110,Viggo Mortensen,Aragorn,2
121,1328,Sean Astin,Sam,3
121,1333,Andy Serkis,Gollum,4
121,655,John Rhys-Davies,Gimli / Treebeard (voice),5
121,114,Orlando Bloom,Legolas,6
121,1369,Bernard Hill,Théoden,7
121,502,Miranda Otto,Éowyn,8
121,1330,Dominic Monaghan,Merry,9
122,109,Elijah Wood,Frodo,0
122,1327,Ian McKellen,Gandalf,1
122,110,Viggo Mortensen,Aragorn,2
122,1328,Sean Astin,Sam,3
122,1333,Andy Serkis,Gollum / Smeagol,4
122,1330,Dominic Monaghan,Merry,5
122,1329,Billy Boyd,Pippin,6
122,1381,John Noble,Denethor,7
