tmdbId,person_id,name,job
24428,12891,Joss Whedon,Director
153,1769,Sofia Coppola,Director
1417,10828,Guillermo del Toro,Director
1669,1090,John McTiernan,Director
674,10723,Mike Newell,Director
196,24,Robert Zemeckis,Director
809,5524,Andrew Adamson,Director
809,12079,Kelly Asbury,Director
809,12080,Conrad Vernon,Director
9479,57646,Henry Selick,Director
686,24,Robert Zemeckis,Director
2502,25598,Paul Greengrass,Director
9350,16938,Renny Harlin,Director
12405,2034,Danny Boyle,Director
598,8557,Fernando Meirelles,Director
1642,11472,Irwin Winkler,Director
856,24,Robert Zemeckis,Director
1597,6737,Jay Roach,Director
8963,893,Tony Scott,Director
773,16960,Valerie Faris,Director
773,16959,Jonathan Dayton,Director
279,3974,Miloš Forman,Director
2064,12962,Jon Turteltaub,Director
813,12936,Jim Abrahams,Director
813,3415,Jerry Zucker,Director
813,12987,David Zucker,Director
567,2636,Alfred Hitchcock,Director
9273,4489,Steve Oedekerk,Director
1271,15217,Zack Snyder,Director
8012,5174,Barry Sonnenfeld,Director
17654,82194,Neill Blomkamp,Director
1895,1,George Lucas,Director
4011,510,Tim Burton,Director
36658,9032,Bryan Singer,Director
205596,77965,Morten Tyldum,Director
100,956,Guy Ritchie,Director
7326,52443,Jason Reitman,Director
744,893,Tony Scott,Director
525,4610,John Landis,Director
786,11649,Cameron Crowe,Director
2280,14911,Penny Marshall,Director
425,5713,Chris Wedge,Director
754,11401,John Woo,Director
605,9339,Lilly Wachowski,Director
605,9340,Lana Wachowski,Director
11000,5342,Mike Nichols,Director
2048,21085,Alex Proyas,Director
18785,57130,Todd Phillips,Director
2649,7467,David Fincher,Director
9208,11401,John Woo,Director
293660,55252,Tim Miller,Director
9614,17494,Dennis Dugan,Director
564,7775,Stephen Sommers,Director
429,4385,Sergio Leone,Director
15,40,Orson Welles,Director
9800,16294,Jonathan Demme,Director
7443,7314,Nick Park,Director
7443,53304,Peter Lord,Director
2667,26849,Daniel Myrick,Director
2667,26850,Eduardo Sánchez,Director
423,3556,Roman Polanski,Director
623,8929,Charles Crichton,Director
451,6111,Mike Figgis,Director
1624,4499,Tom Shadyac,Director
37247,5342,Mike Nichols,Director
524,1032,Martin Scorsese,Director
955,11401,John Woo,Director
4584,1614,Ang Lee,Director
104,1071,Tom Tykwer,Director
199,2388,Jonathan Frakes,Director
941,7187,Richard Donner,Director
587,510,Tim Burton,Director
9327,4499,Tom Shadyac,Director
389,39996,Sidney Lumet,Director
687,504,Tim Robbins,Director
462,1884,Steven Soderbergh,Director
120467,5655,Wes Anderson,Director
150540,12890,Pete Docter,Director
58,1704,Gore Verbinski,Director
4327,36425,McG,Director
170,2034,Danny Boyle,Director
37799,7467,David Fincher,Director
76341,20629,George Miller,Director
13475,15344,J.J. Abrams,Director
11450,4135,Robert Redford,Director
675,11343,David Yates,Director
563,10491,Paul Verhoeven,Director
767,11343,David Yates,Director
12444,11343,David Yates,Director
9741,11614,M. Night Shyamalan,Director
9473,34517,Trey Parker,Director
9739,58838,Marco Brambilla,Director
1954,20218,Eric Bress,Director
1954,20219,J. Mackye Gruber,Director
75,510,Tim Burton,Director
106,1090,John McTiernan,Director
829,3556,Roman Polanski,Director
9693,11218,Alfonso Cuarón,Director
1366,16513,John G. Avildsen,Director
4638,11090,Edgar Wright,Director
2054,18356,Stephen Herek,Director
264660,2036,Alex Garland,Director
408,5446,David Hand,Director
408,11426,Ben Sharpsteen,Director
408,67373,William Cottrell,Director
408,564042,Larry Morey,Director
408,52218,Perce Pearce,Director
408,11434,Wilfred Jackson,Director
6479,10943,Francis Lawrence,Director
2756,2710,James Cameron,Director
9386,5231,Wolfgang Petersen,Director
9428,5655,Wes Anderson,Director
10528,956,Guy Ritchie,Director
10193,8,Lee Unkrich,Director
70160,23964,Gary Ross,Director
45269,70500,Tom Hooper,Director
243,3224,Stephen Frears,Director
12445,11343,David Yates,Director
616,9181,Edward Zwick,Director
2758,5174,Barry Sonnenfeld,Director
210577,7467,David Fincher,Director
10191,66193,Chris Sanders,Director
10191,69797,Dean DeBlois,Director
310,4499,Tom Shadyac,Director
1832,19303,Kevin Smith,Director
6957,41039,Judd Apatow,Director
213,2636,Alfred Hitchcock,Director
11566,8858,Ivan Reitman,Director
4232,5140,Wes Craven,Director
19908,91268,Ruben Fleischer,Director
792,1152,Oliver Stone,Director
1900,1884,Steven Soderbergh,Director
137113,11694,Doug Liman,Director
329865,137427,Denis Villeneuve,Director
345,240,Stanley Kubrick,Director
881,3026,Rob Reiner,Director
496,6767,Larry Charles,Director
8363,54733,Greg Mottola,Director
111,1150,Brian De Palma,Director
426,2636,Alfred Hitchcock,Director
1587,5306,Lasse Hallström,Director
11031,3026,Rob Reiner,Director
244786,136495,Damien Chazelle,Director
703,1243,Woody Allen,Director
1573,16938,Renny Harlin,Director
44214,6431,Darren Aronofsky,Director
9087,3026,Rob Reiner,Director
330,488,Steven Spielberg,Director
1584,564,Richard Linklater,Director
117,1150,Brian De Palma,Director
621,8876,Randal Kleiser,Director
1359,16378,Mary Harron,Director
13223,190,Clint Eastwood,Director
608,5174,Barry Sonnenfeld,Director
595,8482,Robert Mulligan,Director
140607,15344,J.J. Abrams,Director
68,280,Terry Gilliam,Director
9359,7187,Richard Donner,Director
2024,6046,Roland Emmerich,Director
634,9158,Sharon Maguire,Director
9495,21085,Alex Proyas,Director
70,190,Clint Eastwood,Director
77338,84425,Éric Toledano,Director
77338,84426,Olivier Nakache,Director
9277,9577,George Roy Hill,Director
154,1788,Nicholas Meyer,Director
5548,10491,Paul Verhoeven,Director
1585,2662,Frank Capra,Director
9354,4945,Joe Johnston,Director
3034,14639,Mel Brooks,Director
508,7018,Richard Curtis,Director
9798,893,Tony Scott,Director
9552,15175,William Friedkin,Director
49047,11218,Alfonso Cuarón,Director
15121,1744,Robert Wise,Director
378,1223,Joel Coen,Director
713,10757,Jane Campion,Director
10144,15811,John Musker,Director
10144,15810,Ron Clements,Director
11395,58072,John Pasquin,Director
840,488,Steven Spielberg,Director
4476,9181,Edward Zwick,Director
1701,12786,Simon West,Director
319,893,Tony Scott,Director
128,608,Hayao Miyazaki,Director
11545,5655,Wes Anderson,Director
433,5834,Robert Stevenson,Director
531,7314,Nick Park,Director
33,190,Clint Eastwood,Director
642,9577,George Roy Hill,Director
2675,11614,M. Night Shyamalan,Director
926,15002,Dean Parisot,Director
824,6201,Baz Luhrmann,Director
522,510,Tim Burton,Director
2668,510,Tim Burton,Director
509,7017,Roger Michell,Director
787,11694,Doug Liman,Director
9268,26713,Chuck Russell,Director
670,10099,Park Chan-wook,Director
9772,5231,Wolfgang Petersen,Director
644,488,Steven Spielberg,Director
118,510,Tim Burton,Director
9427,57630,Peter Cattaneo,Director
152601,5953,Spike Jonze,Director
10138,15277,Jon Favreau,Director
855,578,Ridley Scott,Director
13183,15217,Zack Snyder,Director
9654,37932,F. Gary Gray,Director
1924,7187,Richard Donner,Director
4951,40243,Gil Junger,Director
9482,33279,Danny Cannon,Director
770,9049,Victor Fleming,Director
755,2294,Robert Rodriguez,Director
409,2239,Anthony Minghella,Director
1813,18596,Taylor Hackford,Director
9894,7399,Ben Stiller,Director
8872,58448,Penelope Spheeris,Director
4995,4762,Paul Thomas Anderson,Director
1018,5602,David Lynch,Director
1933,19840,Alejandro Amenábar,Director
411,5524,Andrew Adamson,Director
346,5026,Akira Kurosawa,Director
10731,5572,Joel Schumacher,Director
9502,57741,Mark Osborne,Director
9502,57742,John Stevenson,Director
8005,14639,Mel Brooks,Director
11003,57370,Frank Coraci,Director
8068,2294,Robert Rodriguez,Director
1372,9181,Edward Zwick,Director
8835,36797,Robert Luketic,Director
565,1704,Gore Verbinski,Director
11969,16566,George P. Cosmatos,Director
8077,7467,David Fincher,Director
1430,17087,Michael Moore,Director
10377,21217,Jonathan Lynn,Director
49051,108,Peter Jackson,Director
8681,35453,Pierre Morel,Director
1213,2239,Anthony Minghella,Director
9342,10702,Martin Campbell,Director
4935,608,Hayao Miyazaki,Director
19913,87742,Marc Webb,Director
51876,17329,Neil Burger,Director
36593,13426,Peter Segal,Director
364,510,Tim Burton,Director
387,5231,Wolfgang Petersen,Director
23483,957,Matthew Vaughn,Director
947,12238,David Lean,Director
8346,54644,Joel Zwick,Director
17431,81850,Duncan Jones,Director
3595,6159,Ron Howard,Director
177572,227439,Don Hall,Director
177572,70238,Chris Williams,Director
36647,10808,Stephen Norrington,Director
9434,58294,George Armitage,Director
10530,65530,Mike Gabriel,Director
10530,65531,Eric Goldberg,Director
306,4610,John Landis,Director
871,13265,Franklin J. Schaffner,Director
334,4762,Paul Thomas Anderson,Director
37724,39,Sam Mendes,Director
10329,664,Frank Marshall,Director
7345,4762,Paul Thomas Anderson,Director
2255,19303,Kevin Smith,Director
36685,13484,Jim Sharman,Director
8321,54472,Martin McDonagh,Director
8866,7145,Michael Lehmann,Director
8840,18878,Rob Cohen,Director
1493,18281,Donald Petrie,Director
285,1704,Gore Verbinski,Director
2657,23964,Gary Ross,Director
207703,957,Matthew Vaughn,Director
49538,957,Matthew Vaughn,Director
16320,12891,Joss Whedon,Director
1491,17329,Neil Burger,Director
9451,13235,Alexander Payne,Director
392,5306,Lasse Hallström,Director
957,14639,Mel Brooks,Director
9737,865,Michael Bay,Director
942,7187,Richard Donner,Director
9326,24,Robert Zemeckis,Director
184,138,Quentin Tarantino,Director
9593,1090,John McTiernan,Director
850,12698,Bob Clark,Director
4922,7467,David Fincher,Director
318846,55710,Adam McKay,Director
9489,9248,Nora Ephron,Director
10674,66190,Tony Bancroft,Director
10674,66191,Barry Cook,Director
9612,18308,Steve Barron,Director
9398,7399,Ben Stiller,Director
59967,67367,Rian Johnson,Director
1824,13426,Peter Segal,Director
322,190,Clint Eastwood,Director
22538,11090,Edgar Wright,Director
826,12238,David Lean,Director
10895,11429,Hamilton Luske,Director
10895,11426,Ben Sharpsteen,Director
10895,74565,Jack Kinney,Director
10895,11427,Bill Roberts,Director
10895,11432,T. Hee,Director
10895,226599,Norman Ferguson,Director
10895,11434,Wilfred Jackson,Director
1091,11770,John Carpenter,Director
2034,20907,Antoine Fuqua,Director
9348,21370,Roger Donaldson,Director
4247,35689,Keenen Ivory Wayans,Director
299536,19272,Joe Russo,Director
299536,19271,Anthony Russo,Director
2109,11091,Brett Ratner,Director
9255,12936,Jim Abrahams,Director
9522,42994,David Dobkin,Director
9340,7187,Richard Donner,Director
11971,11181,Kenneth Branagh,Director
296,7213,Jonathan Mostow,Director
5915,2228,Sean Penn,Director
10195,11181,Kenneth Branagh,Director
269149,76595,Byron Howard,Director
269149,165787,Rich Moore,Director
435,6046,Roland Emmerich,Director
658,9915,Guy Hamilton,Director
2666,21085,Alex Proyas,Director
8839,11887,Brad Silberling,Director
766,7623,Sam Raimi,Director
801,8246,Barry Levinson,Director
168,1749,Leonard Nimoy,Director
12498,879,Billy Bob Thornton,Director
6488,664,Frank Marshall,Director
64690,21183,Nicolas Winding Refn,Director
1402,20646,Gabriele Muccino,Director
714,1724,Roger Spottiswoode,Director
2323,23968,Phil Alden Robinson,Director
205,2589,Terry George,Director
927,4600,Joe Dante,Director
8193,53925,Jared Hess,Director
963,6593,John Huston,Director
756,11434,Wilfred Jackson,Director
756,11427,Bill Roberts,Director
756,11428,Paul Satterfield,Director
756,5691,Samuel Armstrong,Director
756,11430,Jim Handley,Director
756,11432,T. Hee,Director
756,11429,Hamilton Luske,Director
756,11426,Ben Sharpsteen,Director
756,5690,James Algar,Director
756,226599,Norman Ferguson,Director
756,5446,David Hand,Director
756,1094239,Ford Beebe Jr.,Director
652,5231,Wolfgang Petersen,Director
20352,124748,Chris Renaud,Director
20352,124747,Pierre Coffin,Director
3981,17698,Nancy Meyers,Director
88,716,Emile Ardolino,Director
9294,12962,Jon Turteltaub,Director
36668,11091,Brett Ratner,Director
1640,455,Paul Haggis,Director
532,7314,Nick Park,Director
594,488,Steven Spielberg,Director
1538,638,Michael Mann,Director
9679,58498,Dominic Sena,Director
818,6737,Jay Roach,Director
401,5367,Zach Braff,Director
1771,4945,Joe Johnston,Director
3131,1032,Martin Scorsese,Director
100402,19272,Joe Russo,Director
100402,19271,Anthony Russo,Director
571,2636,Alfred Hitchcock,Director
74,488,Steven Spielberg,Director
9886,59997,Robert Longo,Director
101299,10943,Francis Lawrence,Director
9372,57492,Morgan Spurlock,Director
2757,5953,Spike Jonze,Director
9671,58453,Peter Faiman,Director
