tmdbId,review_count,pct_positive,avg_sentiment_score
11,9,1.0,0.9988527629110548
12,4,1.0,0.9989137649536133
13,2,1.0,0.9987970888614655
14,3,1.0,0.998691201210022
15,10,0.8,0.9981720745563507
16,3,0.3333333333333333,0.9986817240715027
18,6,0.8333333333333334,0.998956710100174
19,2,1.0,0.9988929927349091
22,4,1.0,0.9987857490777969
24,6,0.6666666666666666,0.999024510383606
28,7,0.5714285714285714,0.9989367638315473
33,7,1.0,0.9986609390803746
35,4,0.0,0.9993518441915512
38,8,0.75,0.9988305121660233
55,1,1.0,0.998889148235321
58,3,1.0,0.9987855950991312
59,4,1.0,0.9988550841808319
62,16,0.6875,0.9984503015875816
63,4,0.75,0.9984336495399475
64,2,1.0,0.9988068342208862
65,1,1.0,0.9988007545471191
68,3,0.6666666666666666,0.9925334652264913
69,3,0.6666666666666666,0.9961132407188416
70,4,0.5,0.9981621205806732
71,1,1.0,0.9989349246025085
73,4,0.5,0.999016135931015
74,4,0.5,0.9991522878408432
75,4,1.0,0.997749075293541
76,3,1.0,0.9989242355028788
77,8,1.0,0.9976270422339439
78,11,1.0,0.9973774281415072
79,1,1.0,0.9989213943481445
80,1,0.0,0.99910968542099
81,1,0.0,0.9983633160591125
85,5,1.0,0.998612642288208
87,5,0.8,0.994001841545105
88,5,0.4,0.9970422625541687
89,5,1.0,0.998869252204895
90,2,1.0,0.9989120960235596
95,8,0.75,0.9986832290887833
96,2,0.5,0.9901227653026581
97,4,0.5,0.9991193562746048
98,5,1.0,0.9988870859146118
99,5,0.8,0.9990403532981873
100,4,0.75,0.9990594238042831
101,2,1.0,0.9566041231155396
103,4,1.0,0.9974951297044754
104,3,0.6666666666666666,0.9990326563517252
105,7,1.0,0.9988745025226048
106,5,1.0,0.9982366681098938
107,2,1.0,0.9988743960857391
108,2,1.0,0.9989057779312134
109,2,1.0,0.9988730251789093
110,2,1.0,0.9989151656627655
111,4,0.75,0.9985967874526978
114,8,0.75,0.9925636872649193
115,4,1.0,0.9988621473312378
116,3,0.6666666666666666,0.9967044790585836
117,3,1.0,0.9986809690793356
118,2,1.0,0.9984295666217804
120,11,1.0,0.9988095218485052
121,7,0.8571428571428571,0.997356082711901
122,8,0.75,0.9989434629678726
123,1,1.0,0.9989112615585327
128,6,1.0,0.9986261626084646
129,2,1.0,0.9985561370849609
