tmdbId,person_id,name,job
287947,1302082,David F. Sandberg,Director
568124,76595,Byron Howard,Director
568124,1318201,Jared Bush,Director
399579,2294,Robert Rodriguez,Director
337404,50767,Craig Gillespie,Director
316029,1276373,Michael Gracey,Director
550988,17825,Shawn Levy,Director
281338,32278,Matt Reeves,Director
436969,15218,James Gunn,Director
474350,1113116,Andy Muschietti,Director
646380,55710,Adam McKay,Director
126889,578,Ridley Scott,Director
300668,2036,Alex Garland,Director
512200,51851,Jake Kasdan,Director
664413,88253,Barbara Białowąs,Director
664413,1192152,Tomasz Mandes,Director
348350,6159,Ron Howard,Director
533535,17825,Shawn Levy,Director
524434,1395183,Chloé Zhao,Director
259693,2127,James Wan,Director
353081,9033,Christopher McQuarrie,Director
47971,40256,D.J. Caruso,Director
359724,366,James Mangold,Director
450465,11614,M. Night Shyamalan,Director
464052,6884,Patty Jenkins,Director
569094,1046497,Justin K. Thompson,Director
569094,2451598,Kemp Powers,Director
569094,89596,Joaquim Dos Santos,Director
315162,1450348,Joel Crawford,Director
391713,45400,Greta Gerwig,Director
508943,930567,Enrico Casarosa,Director
402900,23964,Gary Ross,Director
616037,55934,Taika Waititi,Director
333371,568322,Dan Trachtenberg,Director
290250,1108,Shane Black,Director
493922,1145520,Ari Aster,Director
38700,1399842,Bilall Fallah,Director
38700,1399841,Adil El Arbi,Director
447365,15218,James Gunn,Director
466282,72036,Susan Johnson,Director
315837,228134,Rupert Sanders,Director
396535,939147,Yeon Sang-ho,Director
615457,1169024,Ilya Naishuller,Director
328111,124748,Chris Renaud,Director
278927,15277,Jon Favreau,Director
339846,71600,Seth Gordon,Director
335797,52842,Garth Jennings,Director
336843,1179066,Wes Ball,Director
537915,1586194,Jenny Gage,Director
693134,137427,Denis Villeneuve,Director
338970,87877,Roar Uthaug,Director
340666,120615,Tom Ford,Director
337167,15890,James Foley,Director
530385,1145520,Ari Aster,Director
545611,1317730,Daniel Scheinert,Director
545611,1383612,Daniel Kwan,Director
406997,19311,Stephen Chbosky,Director
345940,12962,Jon Turteltaub,Director
458723,291263,Jordan Peele,Director
603692,40644,Chad Stahelski,Director
404368,165787,Rich Moore,Director
404368,567562,Phil Johnston,Director
487558,5281,Spike Lee,Director
121856,549310,Justin Kurzel,Director
339964,59,Luc Besson,Director
300669,932248,Fede Álvarez,Director
395992,125738,Daniel Espinosa,Director
341174,15890,James Foley,Director
619264,2374023,Galder Gaztelu-Urrutia,Director
766507,568322,Dan Trachtenberg,Director
384018,40684,David Leitch,Director
718930,40684,David Leitch,Director
363676,190,Clint Eastwood,Director
310131,138781,Robert Eggers,Director
385128,58189,Justin Lin,Director
223702,142587,Greg Tiernan,Director
223702,12080,Conrad Vernon,Director
687163,107446,Phil Lord,Director
687163,155267,Christopher Miller,Director
324852,124747,Pierre Coffin,Director
324852,8023,Kyle Balda,Director
282035,15345,Alex Kurtzman,Director
505642,1056121,Ryan Coogler,Director
427641,132876,Brad Peyton,Director
398978,1032,Martin Scorsese,Director
376867,92784,Barry Jenkins,Director
520763,17697,John Krasinski,Director
302946,77003,Gavin O'Connor,Director
295693,18864,Tom McGrath,Director
492188,5656,Noah Baumbach,Director
454983,1066705,Vince Marcello,Director
447404,65630,Rob Letterman,Director
68735,81850,Duncan Jones,Director
527774,227439,Don Hall,Director
527774,1932178,Carlos López Estrada,Director
419704,20561,James Gray,Director
370172,87257,Cary Joji Fukunaga,Director
439079,1401474,Corin Hardy,Director
