tmdbId,keyword
14,marijuana
14,loneliness
14,love affair
14,exercise
14,extramarital affair
14,realtor
14,voyeurism
14,quitting a job
14,neighborhood
14,philosophical
14,retired army man
14,closeted homosexual
14,singing in a car
14,gay theme
14,intimate
14,existential
14,teenager
14,camcorder
807,rage and hate
807,police
807,s.w.a.t.
807,sadism
807,self-fulfilling prophecy
807,psychopath
807,detective
807,investigation
807,insomnia
807,murder
807,serial killer
807,religion
807,shootout
807,corpse
807,seven deadly sins
807,depravity
807,neo-noir
807,urban gothic
807,grimdark
807,seven: los siete pecados capitales
105,flying car
105,race against time
105,clock tower
105,car race
105,lightning
105,guitar
105,inventor
105,journey in the past
105,invention
105,time travel
105,bullying
105,mad scientist
105,love
105,fish out of water
105,terrorism
105,teenage love
105,destiny
105,burlesque
105,hidden identity
105,teenage life
105,changing the past or future
105,kids
105,1950s
105,lighthearted
105,excited
105,optimistic
155,sadism
155,chaos
155,secret identity
155,crime fighter
155,superhero
155,anti hero
155,scarecrow
155,based on comic
155,vigilante
155,organized crime
155,tragic hero
155,anti villain
155,criminal mastermind
155,district attorney
155,super power
155,super villain
155,neo-noir
155,bold
857,dying and death
857,self sacrifice
857,bravery
857,world war ii
857,duty
857,"normandy, france"
857,troops
857,waffen ss
857,omaha beach
857,rescue mission
857,cowardice
857,us army
857,based on true story
857,d-day
857,military
857,german soldier
857,military operation
857,1940s
275,salesclerk
275,unsociability
275,police
275,cheating
275,ransom
275,winter
275,kidnapping
275,minnesota
275,dark comedy
275,north dakota
275,money
275,murder
275,police officer
275,car dealership
275,woodchipper
275,macabre
275,false history
275,neo-noir
275,complex
275,minneapolis
275,absurd
275,hilarious
275,straightforward
27205,mission
27205,dreams
27205,kidnapping
27205,spy
27205,allegory
27205,intellectual
27205,manipulation
27205,heist
27205,memory
27205,dream world
27205,subconscious
27205,incredulous
27205,high concept
27205,dream
98,gladiator
98,"rome, italy"
98,arena
98,senate
98,roman empire
98,parent child relationship
98,emperor
98,slavery
98,ancient rome
98,revenge
98,battlefield
98,slave auction
98,historical fiction
98,ancient world
98,period drama
98,combat
98,chariot
98,philosopher
98,grim
98,barbarian horde
98,2nd century
98,successor
98,commodus
98,maximus
98,antiquity
98,gladiador
602,spacecraft
602,showdown
602,independence
602,patriotism
602,countdown
602,invasion
602,alien
602,ufo
602,extraterrestrial
602,disaster
602,creature
602,battle
602,alien invasion
602,world domination
602,area 51
602,human vs alien
602,aggressive
602,good versus evil
602,dramatic
602,audacious
602,celebratory
602,commanding
5503,"chicago, illinois"
5503,escape
5503,chase
5503,doomed man
5503,surgeon
5503,death sentence
5503,u.s. marshal
5503,flashback
5503,remake
5503,betrayal
5503,fugitive
5503,on the run
5503,conspiracy
5503,police corruption
5503,doctor
5503,home invasion
5503,disguise
5503,one armed man
5503,framed for murder
5503,shocking
5503,action hero
5503,manhunt
5503,suspicious
5503,suspenseful
5503,dubious
745,dying and death
745,child abuse
745,"philadelphia, pennsylvania"
745,sense of guilt
745,afterlife
745,marriage crisis
745,loss of loved one
745,confidence
745,psychology
745,paranormal phenomena
745,single
745,psychological thriller
745,cowardliness
745,single mother
745,school play
745,ghost
745,kids
745,spiritism
745,somber
745,anxious
745,supernatural horror
745,ghost child
745,psychological horror
745,dramatic
745,suspenseful
745,supernatural thriller
568,rescue
568,florida
568,race against time
568,moon
568,nasa
568,spaceman
568,based on true story
568,"houston, texas"
568,survival
568,space
568,disaster
568,explosion
568,astronaut
568,hypothermia
568,apollo program
568,lunar mission
568,spacecraft accident
568,inspirational
63,biological weapon
63,"philadelphia, pennsylvania"
63,schizophrenia
63,stockholm syndrome
63,airplane
63,world war i
63,underground
63,insanity
63,asylum
63,paranoia
63,prison cell
63,dystopia
63,pimp
63,lion
63,post-apocalyptic future
63,time travel
63,florida keys
63,mental breakdown
63,melancholy
63,past
63,dormitory
63,insane asylum
63,volunteer
63,drug use
63,flashback
63,remake
63,psychiatric hospital
63,jail
63,mental institution
63,cyberpunk
63,alternate history
63,disease
63,lethal virus
63,paradox
63,psychiatrist
63,monkey
63,epidemic
63,trapped
63,street life
63,nonlinear timeline
63,medical research
63,gas mask
63,psychosis
63,subterranean
63,virus
63,mysterious
63,recurring dream
63,1990s
63,escaped animal
63,future noir
63,animal research
63,anxious
63,2030s
63,inspirational
63,suspenseful
63,critical
63,intense
808,princess
808,based on novel or book
808,magic
808,fairy tale
808,donkey
808,liberation
808,lordship
808,prince
808,castle
808,villain
808,robin hood
808,enchantment
808,swamp
808,parody
808,anthropomorphism
808,dragon
808,woman director
808,ogre
808,satirical
808,wonder
808,3d animation
808,grand
808,cartoon donkey
808,witty
808,romantic
808,admiring
808,appreciative
808,bold
77,drug dealer
77,amnesia
77,insulin
77,tattoo
77,waitress
77,motel
77,manipulation
77,flashback
77,confusion
77,revenge
77,murder
77,memory loss
77,memory
77,psychological thriller
77,whodunit
77,"los angeles, california"
77,polaroid
77,based on short story
77,nonlinear timeline
77,mourning
77,insurance agent
77,individuality
77,phone call
77,paranoid
77,neo-noir
77,somber
77,reverse chronology
77,awestruck
77,bewildered
77,bold
8587,father murder
8587,loss of loved one
8587,africa
8587,lion
8587,cartoon
8587,manipulation
8587,villain
8587,redemption
8587,musical
8587,uncle
8587,coming of age
8587,murder
8587,shaman
8587,king
8587,animals
8587,nature
8587,father son relationship
8587,awestruck
489,"boston, massachusetts"
489,mathematics
489,genius
489,male friendship
489,flashback
489,psychologist
489,janitor
489,dating
489,courtroom
489,group of friends
489,southie
489,college professor
489,prodigy
489,math genius
489,foster kid
489,fear of change
489,witty
489,admiring
489,abused as a child
489,massachusetts institute of technology (mit)
489,math professor
812,princess
812,magic
812,tiger
812,cartoon
812,villain
812,parrot
812,sultan
812,flying carpet
812,wish
812,musical
812,love
812,monkey
812,arab
812,aftercreditsstinger
812,genie
812,arabian nights
812,animal sidekick
812,magic lamp
812,good versus evil
812,enchant
268,dual identity
268,double life
268,chemical
268,crime fighter
268,superhero
268,villain
268,based on comic
268,vigilante
268,mobster
268,organized crime
268,criminal
268,super power
268,madness
268,vigilantism
268,cautionary
268,good versus evil
22,ship
22,blacksmith
22,gold
22,exotic island
22,governor
22,skeleton
22,jamaica
22,british empire
22,pirate
22,swashbuckler
22,18th century
22,caribbean sea
22,aftercreditsstinger
22,pirate ship
22,british navy
22,tortuga
22,based on theme park ride
22,hilarious
22,brisk
607,new york city
607,cannon
607,space marine
607,flying saucer
607,undercover
607,secret identity
607,superhero
607,deportation
607,illegal immigration
607,new identity
607,stay permit
607,giant cockroach
607,based on comic
607,alien
607,buddy cop
607,fictional government agency
607,hilarious
607,intense
1637,s.w.a.t.
1637,bomber
1637,bus bomb
1637,"los angeles, california"
1637,falling elevator
1637,bomb planting
1637,lapd
1637,trapped in an elevator
1637,subway train
1637,bomb explosion
1637,ransom demand
1637,aggressive
1637,extortionist
1637,"santa monica, california"
1637,bomb vest
1637,suspenseful
1637,bold
1637,excited
1637,city bus
1637,bus passengers
1637,trapped in a vehicle
36955,florida
36955,horseback riding
36955,gun
36955,kidnapping
36955,spy
36955,florida keys
36955,secret agent
36955,terrorism
36955,terrorist plot
36955,top secret
36955,mushroom cloud
36955,jackhammer
36955,special agent
36955,key west
36955,mischievous
36955,appreciative
218,man vs machine
218,artificial intelligence (a.i.)
218,saving the world
218,laser gun
218,cyborg
218,killer robot
218,shotgun
218,rebel
218,dystopia
218,villain
218,time travel
218,female protagonist
218,"los angeles, california"
218,urban setting
218,future war
218,savior
218,tech noir
218,time paradox
218,action hero
218,griffith observatory
218,good versus evil
218,murders
2493,dreams
2493,based on novel or book
2493,narration
2493,wrestling
2493,miracle
2493,sword fight
2493,revenge
2493,boat chase
2493,pirate
2493,wedding
2493,swashbuckler
2493,evil prince
2493,screwball
2493,impersonation
2493,giant man
2493,story within the story
2493,hidden identity
2493,fictitious country
2493,grandfather grandson relationship
2493,battle of wits
2493,romantic
2493,adoring
2493,enchant
2493,fairytale
581,friendship
581,mutiny
581,countryside
581,based on novel or book
581,unsociability
581,wolf
581,culture clash
581,self-discovery
581,freedom
581,desertion
581,language barrier
581,dakota
581,native american
581,"kansas, usa"
581,sioux
581,tennessee
581,snow
581,pawnee tribe
581,19th century
581,lakota
581,bison
581,somber
581,early america
581,provocative
581,dramatic
581,intense
581,powerful
137,deja vu
137,groundhog
137,weather forecast
137,telecaster
137,"pennsylvania, usa"
137,alarm clock
137,winter
137,time warp
137,holiday
137,time loop
137,magic realism
137,existentialism
137,groundhog day
137,february
762,holy grail
762,swordplay
762,england
762,monk
762,wedding reception
762,scotland yard
762,animal attack
762,camelot
762,round table
762,chapter
762,satire
762,parody
762,breaking the fourth wall
762,knight
762,king arthur
762,knights of the round table
762,10th century
762,anarchic comedy
762,hilarious
762,cheerful
762,shaggy dog story
89,saving the world
89,nazi
89,holy grail
89,"venice, italy"
89,entrapment
89,crusader
89,germany
89,riddle
89,brotherhood
89,zeppelin
89,tank
89,book burning
89,sequel
89,nazi officer
89,boat chase
89,gestapo
89,single father
89,traveling circus
89,archaeologist
89,bible quote
89,medieval
89,boy scouts
89,german soldier
89,motorcycle chase
89,hindenburg
89,german agent
89,1930s
89,biblical archaeology
89,father son relationship
89,adolf hitler
89,knights templar
89,nazi germany
89,the crusades
89,joyous
89,excited
78,android
78,flying car
